,category,sub_category,sub_sub_category,title,description,gender
3555,sports & outdoors,team shop,team clothing,Pittsburgh Penguins Women's 2016 Stanley Cup Playoffs Bound Bearded Pullover Hoodie - Black,Your Pittsburgh Penguins are hitting the ice ready to make a run for the cup this season! Show off your dedication to the rock star team you love to support in this 2016 Stanley Cup Playoffs Bound Bearded hoodie. This awesome top features invigorating graphics that are sure to push your Pittsburgh Penguins spirit to its full potential.,None
3556,clothing,pants,None,slim fit five pocket twill pant,"There's nothing like wear-anywhere pants that fit just right. This casual-cool pair will soon become your favorite thanks to a close-to-the-body fit, versatile color and soft fabric.",mens
3557,sports & outdoors,team shop,team clothing,Texas Tech Red Raiders Toddler Red Long Sleeve Football Pajamas,"Your little one has every toddler's dream wardrobe, but does he catch his Z's while maintaining Texas Tech Red Raiders style? Deck him out with these sporty and adorable long sleeve Football pajamas. With padded knees and bold Texas Tech Red Raiders graphics, these PJ's will ensure that he is fashionable at any time!",unisex
3558,health & beauty,None,None,CHANEL  CHANCE  Eau de Toilette Spray,"It's your chance . . . TAKE IT! A decidedly young scent for those who dare to dream. A light, subtly sensual fragrance, filled with vitality and energy, evolves from one moment to the next, each wholly unique.",None
3559,kids & baby,baby,baby clothes,Ralph Lauren Toddler's & Little Girl's Cabled Cotton Cardigan,"Softly textured, this cabled knit in cool cotton has long sleeves and ribbing at the collar, cuffs and hem.  Long sleeves  Button-front closure  Embroidered chest pony  Cotton; machine wash  Imported",baby & toddler
3560,clothing,tops,t-shirts,CLASSIC STRIPE TEE,,mens
3562,clothing,pants,None,,"Exclusively ours! Perfect for any number of occasions, this no gap twill crop pant from Studio Works features fun buttons at the cuffs.    Featured in stone     Button and zip closure     Belt loops     Traditional waistband     Pockets     Buttons at cuffs     Cropped length     Cotton / spandex     Imported",plus size
3563,sports & outdoors,team shop,team clothing,New York Giants Nike Women's Tailgate Legasee Leggings - Red,"You love working out and the New York Giants, so you like to find ways to incorporate your enthusiasm wherever you go. You can do just that when you get these New York Giants Tailgate Legasee leggings from Nike. These awesome leggings feature distinct printed New York Giants graphics, so people will see your die-hard loyalty on full display while you're out and about.",None
3564,clothing,outerwear,None,,This slim fit Nautica track jacket is a great layer for in-between weather. Simply toss it on over a t-shirt or give a collared shirt a more casual twist.    French Terry cotton / polyester    Mock collar    Long sleeves    Zip front    Two zip pockets    Machine washable    Slim styling    Imported,mens
3565,clothing,denim,None,Joe's Jeans Brixton Twill Pants,"""Stylish jeans in a flattering narrow fit  Belt loops  Zip fly with button closure  Five-pocket style   Rise, about 10""""  Leg opening about 16""""  Cotton/spandex  Machine wash  Imported""",mens
3566,shoes,boots,None,Carrano Myra Fringe Leather Buckled Bootie,"""Carrano leather bootie with chain-mail strap. Block heel; pointed toe. Woven and studded straps across vamp. Fringe detail around ankle. Buckled ankle straps. Side zip eases dress. Padded footbed. """"Myra"""" is made in Brazil.""",womens
3567,clothing,dresses,cocktail dresses,Escada Elbow-Sleeve V-Neck Sheath Dress,"""Sleek sheath tailored in v-neck silhouette  V-neck  Elbow-length sleeves  Concealed back zip closure  Back vent  Lined  About 39"""" from shoulder to hem  Triacetate/polyester  Dry clean  Imported  Model shown is 5'10"""" (177cm) wearing US size 4""",womens
3568,sports & outdoors,team shop,team clothing,Carl Edwards Youth Charcoal Power T-Shirt,"""Let your kid complete his look with this Carl Edwards Power T-shirt! This tee will quickly become his """"go-to"""" fashion statement. Not only is it perfect for just about any occasion, but it also features a unique design with a crew neck and authentic, quality Carl Edwards graphics that truly make this shirt one-of-a-kind.""",unisex
3569,clothing,sleepwear & loungewear,loungewear,Jockey Heather Knit Lounge Sweater,"The Jockey Long Sleeve Lounge Sweater women s thermal top offers superior warmth and comfort. Super-soft fabric delivers cozy comfort in the cold, while a chest pocket and dropped shoulder seams add extra style.",womens
3570,clothing,denim,None,Kick Boot,"""Super Stretch denim|Mid 8 7/8"""" rise|13 5/8"""" back rise|Slim through the thigh|Subtle flare through the leg|19"""" bootleg opening|Extended sizes available online|84% Cotton, 15% Polyester, 1% Elastane|Machine Wash|Imported""",womens
3571,clothing,sleepwear & loungewear,robes,,,womens
3572,clothing,denim,None,,,womens
3574,sports & outdoors,team shop,team clothing,Chicago Cubs Majestic Youth W Flag T-Shirt - Royal,"There's no striking out when your child starts their day by showing off his Chicago Cubs pride. Showing complete Chicago Cubs allegiance, this W Flag T-shirt is ready to show the flag that will be hoisted after their victory. Featuring striking graphics, this Chicago Cubs tee stands out from the rest in his closet.",unisex
3575,sports & outdoors,team shop,team clothing,Cleveland Indians Heathered Navy Distressed Team Tri-Blend T-Shirt,Your trendy outfits always stand out from all your peers. This season upgrade your wardrobe with a boost of Cleveland Indians excitement when you pick up this amazing Distressed Team tri-blend T-shirt. The classic design and riveting Cleveland Indians distressed graphics of it will definitely make it stand out in your closet!,unisex
3576,clothing,tops,dress shirts,,2-Ply Cotton Pinpoint Rope Stripe Button Down Collar Dress Shirt,mens
3577,sports & outdoors,team shop,team clothing,2016 Ryder Cup Under Armour Youth Tech Performance T-Shirt - Navy,"If you know a young golf enthusiast, get them this 2016 Ryder Cup Under Armour Tech Performance t-shirt. This tee features HeatGear technology that regulates body temperature and helps wicks away moisture. Your little golfer will love practicing their swing with this ultra-comfortable performance tee.",unisex
3578,sports & outdoors,team shop,team clothing,John Riggins New York Jets Mitchell & Ness Retired Player Replica Jersey - Green,"Celebrate your New York Jets fandom with this John Riggins Retired Player replica jersey from Mitchell & Ness! John Riggins might not be playing on the gridiron every Sunday, but that doesn't mean he's forgotten. This jersey features New York Jets colors along with your favorite player's name and number on the back. The man, the myth and the legend still lives on.",unisex
3579,,None,None,,Complete your classic style this fall with this faux silk A-line jacket form Gallery that features contrast cuffs and hood.    Feature in black     Stand collar     Long sleeves     Zip front closure     Snap button placket     Hooded     Two hand pockets     A-line silhouette     Polyester     Imported,None
3580,,None,None,,"""Web exclusive! Stride with class and elegance in these J. Renee Maressa pumps. A pearlized patent stands on a snake print embossed metal heel to give you a boost in height and attitude. A memory foam insole is also included to keep you striding in comfort. Match these pumps with your favorite skinny jeans or pencil skirt for a gorgeous look that will make jaws drop in your wake.     Featured in black     3.5"""" metal heel     Memory foam insole     Imported""",unisex
3581,,None,None,"Carmen Carmen Marc Valvo Chain-Detail Sleeveless Dress, Black","""Carmen by Carmen Marc Valvo jersey dress with chain detail. Approx. 37""""L from shoulder to hem. Round neckline with pleating. Sleeveless; cut-n shoulders. Slim silhouette. Straight hem. Hidden back zip. Polyester/spandex; polyester lining. Machine wash. Imported.""",unisex
3582,clothing,tops,None,,"""A surplice neckline enhances the chic drape of this jersey top, which flatters the figure with its wrap-like look. Faux-wrap silhouette.    Featured in blue    Size medium has a 25 1/2"""" body length and a 24 1/2"""" sleeve length    Draped surplice neckline    Long sleeves    Cotton / elastane    Machine washable    Imported""",womens
3583,clothing,outerwear,None,,Exclusively ours! Brighten your classic style with this sleek faux suede style jacket from Studio Works that features a seamed fit and zip accents.    Featured in red    Inverted notch collar    Long sleeves    Zip front closure    Two zip pockets    Polyester    Imported,womens
3584,sports & outdoors,team shop,team clothing,Isaiah Brown Chelsea adidas 2016/17 Third Replica Patch Jersey - White,,unisex
3585,,None,None,,Get sleek style and comfortable fit with this fusion skyline bra from DKNY that features a custom lift design.    Featured in black    Underwire    Padded cups    Adjustable elastic straps    Hook and eye rear closure    Style no. DK2014    Hand wash    Nylon / spandex    Imported,unisex
3586,,None,None,Embroidered Hem Soft Top,Embroidered details  Keyhole with tie  Long sleeves  Hits at the hips  Relaxed silhouette  100% Cotton  Machine wash  Imported,None
3587,clothing,shorts,None,,Take your casual style new places in these adventurous Anita curvy twill capris from Gloria Vanderbilt.    Cotton / spandex    Button / zip closure    Belted    Four-pocket design    Capri length    Imported,womens
3588,sports & outdoors,team shop,team clothing,Maryland Terrapins Old-School Seal Tri-Blend T-Shirt - Cream,It's official! You are a die-hard Terrapins fan and you're not afraid to show it! Display your classic Terrapins spirit in this Old-School Seal tee! It features an arched team name over a Terrapins-themed seal and an establishment year in distressed print for a retro statement of team spirit.,unisex
3589,clothing,tops,None,"Valentino Tie-Dye Short-Sleeve T-Shirt, Tie Dye Army","""Valentino tie-dye T-shirt. Approx. length: 25""""L from shoulder to hem, 27""""L down center back. Crew neckline. Short sleeves. Even hem; pullover style. Cotton. Hand wash cold. Made in Italy.""",mens
3590,sports & outdoors,team shop,team accessories,Arizona Cardinals New Era 2016 Breast Cancer Awareness Sideline Official Low Profile 59FIFTY Fitted Hat - Heather Gray,"Join the fight against cancer with this trendy Arizona Cardinals Breast Cancer Awareness Sideline Official 59FIFTY fitted hat from New Era! Now you'll be able to enjoy watching your Arizona Cardinals take on another unlucky opponent while taking a bold stand with your fellow fans with this hat. It features authentic Arizona Cardinals graphics and a unique look that will grab attention no matter where you go.    100% of the NFL's proceeds from Pink product sales go to the American Cancer Society. For further information, please visit  www.NFL.com/Pink.",unisex
3591,kids & baby,baby,baby clothes,,,baby girls
3592,clothing,sleepwear & loungewear,loungewear,"Wacoal Purity Lace-Combo Tank Top, White","""Wacoal European """"Purity"""" tank top. Scoop neckline; lace-paneled racerback. Thin, lace-trimmed shoulder straps. Curve-hugging silhouette. Straight hem. Pullover style. Cotton/modal/polyester/nylon/spandex. Imported.""",womens
3593,sports & outdoors,team shop,team accessories,New Era Chicago Bears Navy NFL Kickoff Neo 39THIRTY Flex Hat,Display your team pride on game day with this Chicago Bears NFL Kickoff Neo 39THIRTY flex hat. It features bold Chicago Bears graphics along with your favorite team's colors. Everyone will see your commitment to the Chicago Bears with this spirited hat!,unisex
3594,clothing,denim,None,,Bring some fun detail to your look in these skimmer capris from Gloria Vanderbilt that feature a belted waist.    Featured in blue    Five pocket design    Button and zip closure    Belt loops    Skimmer length    Tabs are cuffs    Belted waist    Cotton / polyester / rayon / spandex    Imported,womens
3595,accessories,belts & buckles,None,W. Kleinberg Glazed Alligator Belt with Sterling Silver Buckle (Made to Order),"""w.kleinberg glazed alligator belt. """"Simple Rec"""" sterling silver buckle. Approx. 1 3/8""""W. Made in USA.""",mens
3596,sports & outdoors,team shop,team clothing,Men's Toronto Raptors Heather Gray Team Essential Tri-Blend Tank Top,Make sure you've got the right gear to cheer on your Toronto Raptors when game day arrives! This Team Essential tank top features a stylish design with eye-catching Toronto Raptors graphics that every single fan around will love.,unisex
3597,sports & outdoors,team shop,team clothing,Deron Williams Dallas Mavericks adidas Replica Jersey - Royal,Get in the game with this Dallas Mavericks replica jersey from adidas. It features Dallas Mavericks graphics as well as Deron Williams' name and number on the back.,unisex
3598,,None,None,,,None
3599,clothing,shorts,None,Celebrity Pink Roll Cuff Shorts,,womens
3600,sports & outdoors,team shop,None,"""Alabama Crimson Tide 16"""" x 42"""" Select Frame Panoramic Wall Art""","""You can never have too many premium-grade pieces of art in your abode. Add to your assortment of uniquely artistic and timeless memorabilia with this Alabama Crimson Tide 16"""" x 42"""" Select Frame Panoramic photo! The photo features authentic Alabama Crimson Tide graphics printed on professional-quality, pH-neutral, heavy duty art stock.""",unisex
3601,clothing,denim,None,Travel Jean,,mens
3602,clothing,tops,dress shirts,,Slim Fit 2-Ply Cotton Satin Stripe Spread Collar Dress Shirt,mens
3603,sports & outdoors,team shop,team clothing,Baltimore Orioles Majestic Road Flex Base Authentic Collection Team Jersey - Gray,Make sure you're fully prepared for baseball season when you grab this Baltimore Orioles Flex Base Authentic Collection jersey. The awesome fabric will keep you comfortable no matter how much things heat up on the diamond. Add your own flair to this Baltimore Orioles Majestic jersey by pairing it with your favorite baseball cap.,unisex
3604,clothing,underwear & intimates,bras,,,womens
3605,sports & outdoors,team shop,team clothing,Majestic Oklahoma City Thunder Blue Armor II Therma Base Raglan Pullover Hoodie,Find the perfect winter top with this Oklahoma City Thunder Armor II Therma Base raglan pullover hoodie from Majestic! It features vibrant team graphics and colors that will give your outfit just the right amount of Oklahoma City Thunder flair. This cozy Oklahoma City Thunder hoodie will have you looking and feeling great on those colder days!,unisex
3606,clothing,sleepwear & loungewear,None,Polo Ralph Lauren Camo-Print Jogger Sleep Pant Elmwood Camo S,,mens
3607,,None,None,jacquard jersey stripe v-neck tee,"Refresh your weekly wardrobe rotation with sleek stripes and an eye-catching v-neck. A classically handsome profile adds charm to your casual looks, while modern details pop with personality.",mens
3608,sports & outdoors,team shop,team clothing,Majestic San Diego Padres Youth Brown Alternate Cooperstown Collection Cool Base Jersey,"At the ballpark or strolling down the halls at school, your kid will be sporting superior San Diego Padres style when he slips on this Majestic Alternate Cooperstown Collection Cool Base jersey! The outstanding San Diego Padres colors and graphics of this jersey are sure to add some flair to his outfit. Whether he is running late to class or blazing down the bases at family fun night at the ballpark, the Cool Base technology of this quality jersey will work to wick away moisture from his body and keep him cool and dry.",unisex
3609,sports & outdoors,team shop,team clothing,Men's Minnesota Twins '47 Navy Forward High Point T-Shirt,Boast your unrelenting Minnesota Twins dedication with this classic Forward High Point T-shirt from '47. This tee is just what you need to promote your team as they take the field for the next big game.,unisex
3610,clothing,dresses,day dresses,,Stand out in this boldly printed fit and flare dress from Vince Camuto.     Featured in black / white    Scoop neck    Cap sleeves    Fit and flare silhouette    Allover print    Polyester    Imported,womens
3611,clothing,tops,None,Democracy Embroidered Front Tie Tee,"Bring some sunny, fun style to your look with this tie front tee from Democracy that features embroidered accents at the shoulders.    Featured in yellow     Scoop neck     Short sleeves     Tie front design     Front seam accent     Embroidered at shoulders     Polyester     Imported",womens
3612,sports & outdoors,team shop,None,Fanatics Authentic Clinton Portis Washington Redskins Autographed Riddell Mini Helmet,"This Riddell mini helmet has been personally hand-signed by Clinton Portis. It is officially licensed by the National Football League and comes with an individually numbered, tamper evident hologram from Fanatics Authentic. To ensure authenticity, the hologram can be reviewed online. This process helps to ensure that the product purchased is authentic and eliminates any possibility of duplication or fraud.",None
3613,sports & outdoors,team shop,team clothing,Antigua Indianapolis Colts Women's Royal Leader Desert Dry Full-Zip Jacket,Spice up your wardrobe with this Leader jacket from Antigua! It features bold Indianapolis Colts graphics plus two pockets.It will also keep you nice and comfortable with its Desert Dry fabric technology. Let your sense of fashion speak for itself each time you sport this trendy Indianapolis Colts jacket!,unisex
3614,clothing,tops,dress shirts,Eagle Go Long Sleeve Solid Dress Shirt with Eagle Stretch Collar,"""Handsome design made from rich cotton in solid texture  Designed with a flex collar that allows collar to expand and stretch up to 1/2""""  Button-down collar  Button front  Long sleeves  Buttoned barrel cuffs  Shirttail hem  Cotton  Machine Wash  Imported""",mens
3615,shoes,flats,ballet flats,Aquazzura Sunshine Pom-Pom Suede Lace-Up Flats,Suede lace-up flat finished with fringed pom-poms  Suede upper  Round toe  Lace-up style with back zip  Leather lining and sole  Padded insole  Made in Italy,womens
3617,clothing,dresses,cocktail dresses,,Liven up your sophisticated look with this shimmering tiered skirt blouson dress from Laundry by Shelli Segal.    Featured in goldtone     Draped neckline     Sleeveless     Thin straps     Straight back     Blouson top     Tiered skirt     Hidden back zipper     Lined     Dry clean     Polyester / spandex     Imported,womens
3618,kids & baby,girls clothing,None,Mix & Match Baby Girls' Heart Printed Fleece Hoodie,,baby & toddler
3619,sports & outdoors,team shop,team clothing,LA Clippers Royal This Is Why We Play Pullover Hoodie,"Get the perfect look to let everyone know you are a stylish LA Clippers fan! With eye-catching team graphics, this This Is Why We Play hoodie will show everyone that you know how to display your team spirit in style. With a comfy hoodie and that classic look you love, you'll be ready to head anywhere and know that you look your best.",None
3620,clothing,dresses,None,print halter dress,"A self-tie halter adds a sexy twist to this breezy dress. Smooth fabric drapes comfortably over your frame, while a gathered elastic waist cinches your silhouette. Pair with gladiator sandals and sunnies for a boho-chic ensemble.",womens
3621,clothing,tops,t-shirts,AEO Soft & Sexy Ribbed Tomgirl T-Shirt,"""Soft & Sexy Ribbed|Tailored fit|Crew neck|Length hits top of waistband|Striped|22"""" length from high point shoulder (Size M)|97% Rayon, 3% Spandex; 73% Rayon, 24% Polyester, 3% Spandex|Machine Wash|Imported""",womens
3622,,None,None,,,None
3623,sports & outdoors,team shop,None,Portland Trail Blazers Net 2200mAh Credit Card Powerbank Charger,"While you're out and about, getting ready to head to the game, you notice your cell phone battery is getting pretty low. While most people could become worried, you're super relaxed because you got this Portland Trail Blazers Net 2200mAh Credit Card Powerbank charger. This credit-card sized power pack features bold Portland Trail Blazers graphics and a 2200mAh battery, which will give your device that extra pick me up it needs. When the portable charger is running low on power, you can plug it in to any USB port.",unisex
3624,,None,None,Men's Kurt Busch Checkered Flag Black 1 Spot Monster T-Shirt,Prove you are the #1 Kurt Busch fan with this Checkered Flag Monster 1 Spot T-shirt! This tee is perfect for the Kurt Busch fan who wants a unique new way to show off his pride for his favorite NASCAR driver.,unisex
3625,accessories,jewelry,necklaces,"""Jared Rope Necklace 14K Yellow Gold 30"""" Length- Chains""",Warmth and radiance abound in this classic 14K yellow gold rope chain  in the popular 30-inch length  with lobster clasp.,unisex
3626,,None,None,,,unisex
3627,accessories,wallets & money clips,wallets,Bandana Serape Flap Wallet,Flap wallet.,womens
3628,sports & outdoors,team shop,team clothing,Chicago Cubs Women's Team Color Primary Logo 2 Slim Fit V-Neck Long Sleeve T-Shirt - Royal,"Sure you can go around and tell everyone how dedicated you are to the Chicago Cubs, but there is a much easier way to get your point across. Let everyone you pass know that you are a born and bred Chicago Cubs fan with this Primary Logo T-shirt! This tee boasts your team pride with Chicago Cubs graphics. There are many ways to show your spirit, but this way you won't lose your voice.",None
3629,sports & outdoors,team shop,team clothing,Champion Kentucky Wildcats Royal Pack N Go Jacket,"Never miss a game due to bad weather with this Kentucky Wildcats Champion Pack N Go jacket. With this weather-resistant jacket, you'll be prepared no matter the conditions. With a front pocket for folding and storing, you can stash it conveniently away until you need it. Both the hood and waist feature bungee drawstrings that will keep you sealed in from the rain.",unisex
3630,sports & outdoors,team shop,team clothing,Mike Adams Player Issued Long Sleeve T-Shirt - Ash,You'll do whatever it takes to show your support for your Mike Adams and this NFLPA tee is the perfect way to show everyone your dedication to being his biggest fan. An NFLPA graphic sits just above the player's name and number on the chest of this awesome tee. You'll follow him no matter where he goes and this tee proves it! Rock this tee in the stands and you're sure to make friends with everyone who loves him just as much as you do.,unisex
3632,sports & outdoors,team shop,team accessories,Ole Miss Rebels Jack Mason Brand Women's Legacy Coin Purse,"You've mastered the art of gearing up for Ole Miss Rebels games, but how do you show your pride in other ways? When you carry this cute and compact Legacy Coin Purse from Jack Mason Brand into the stadium, no one will doubt where your true allegiance lies. It features a debossed Ole Miss Rebels logo with a chic leather fringe on the zipper, providing the perfect place to store your benjamins for that last minute burger run at halftime.",None
3633,,None,None,,,unisex
3634,accessories,scarves & shawls,None,"Liberty London Synchrony Leaf Jacquard Scarf, Ecru","""Liberty London """"Synchrony"""" scarf in swirling leaf jacquard, winter-weight warmth. 71""""L x 25""""W. Inspired by William Morris' """"Acanthus"""" design. Long length to wrap or drape. Fringe detail at ends. Wool/cashmere. Made in Italy.""",womens
3635,,None,None,,,None
3636,clothing,suits,suit separates,Tommy Hilfiger Pleated A-Line Skirt,"""Flouncy, pleated A-line shaped in a textured, lightweight knit   Unbanded waist   Concealed side zipper closure   Pleated details   Fully lined   About 24.5"""" long   Polyester/rayon/spandex   Dry clean   Imported""",womens
3637,clothing,swimwear,two-piece swimsuits,Ralph Lauren Lauren Mesh-Yoke Cutout Tankini Black 4,"""A mesh yoke and a racerback back define the sleek and sporty style of this tankini. Rounded neckline. Racerback. Mesh front and back yoke. Cutout at the center front of the chest. Removable padding. Lined at the front. Shell: 85% nylon  15% elastane. Mesh: 89% micropolyester  11% elastane. Lining: 100% polyester. Hand wash. Imported. Model is 5'10""""/178 cm and wears a size 4.""",womens
3638,sports & outdoors,team shop,team clothing,Tennessee Titans Team Logo T-Shirt - Navy,"Come rain or shine, your kiddo has a fandom that can't be denied! Let his team pride speak for itself with this sweet Team Logo T-shirt! Everywhere he goes, everyone will see how much he loves his Tennessee Titans. This cool tee features nice team graphics with glitter accents along with a rib-knit collar. Increase his dedication to the team with this extraordinary tee!",unisex
3639,sports & outdoors,team shop,team accessories,Oakland Raiders New Era Bay Area 59FIFTY Fitted Hat - Black,"Are there very few other things in the world that you care more about than your beloved Oakland Raiders? Illustrate that steadfast loyalty all season long by sporting this Bay Area 59FIFTY Fitted Hat from New Era. It features vivid raised Oakland Raiders embroidery that is the mark of a true fan. Whether you're nervously sitting on the edge of your seat or eagerly jumping to your feet in celebration, this Oakland Raiders hat will do your fandom the justice it deserves!",unisex
3640,sports & outdoors,team shop,team clothing,G-III 4Her by Carl Banks Seattle Sounders FC Women's Black Cross Over Back Tank Top,"Look fierce but stay comfortable when you wear this Seattle Sounders FC Cross Over Back tank top from G-III 4Her by Carl Banks. The soft, heathered fabric and tagless collar bring a relaxed fit while the vivid Seattle Sounders FC graphics will help you stand out in a crowd. You'll look and feel like a champion in this cute tank!",None
3641,clothing,dresses,day dresses,Bcbgmaxazria Catlin Sweater Dress,A cozy sweater dress in a wool and cashmere-blend guaranteed to keep you warm through the season. A cowlneck and long sleeves complete the look.   Cowlneck  Long bell sleeves  Pullover style  Wool/viscose/polyamide/cashmere  Hand wash  Imported,womens
3642,clothing,dresses,cocktail dresses,,Exude elegance with this art deco inspired turtle neck dress from Adrianna Papell that features a beaded design.    Featured in black    Turtle neck    Sleeveless    Allover beaded design    Hidden back zipper    Lined    Polyester    Imported,womens
3643,,None,None,,,None
3644,sports & outdoors,team shop,team accessories,New Era San Francisco Giants Youth Black Clubhouse On-Field Sport Knit Hat,This San Francisco Giants Clubhouse On-Field Sport knit hat is the epitome of New Era style. It features an upmarket design with high-quality San Francisco Giants embroidery that will quickly make this hat one of your kid's faves to sport. It also features breathable fabric for added comfort.,None
3646,clothing,pants,None,"Derek Lam Alana Flare-Leg Pants, Black","""Derek Lam """"Alana"""" stretch-woven pants. Back welt pockets. Rise sits below the natural waist. Fitted through thigh; flared from knee. Hook/zip fly. Viscose/nylon/spandex. Dry clean. Imported of Italian materials.""",womens
3647,clothing,pants,None,,Take control of your business casual look with this finely tailored pant from Alfred Dunner.    Polyester     Stretch waistband     Pull on style     Front slash pockets     Medium length     Imported,womens
3648,accessories,jewelry,rings,Stackable Heart Ring Amethyst Sterling Silver,This stackable ring features a round amethyst centered between two hearts of sterling silver. The sterling silver band is 2.25mm wide.,None
3649,clothing,dresses,day dresses,,"Rep Victorian style without compromising comfort in this Michael Kors ponte knit flounce dress, which is stretchy, form-fitting and snug.    Featured in red / black     Short sleeves     All over floral pattern     Machine washable on cold     Polyester / elastane     Imported",womens
3650,,None,None,,,None
3651,clothing,outerwear,None,Selected Homme Button-Front Jacket,"""Lightweight jacket with quilted lining   Point collar   Long sleeves   Button-down closure   Side slip pockets   Quilted lining   About 33"""" from shoulder to hem   Cotton/polyester   Machine wash   Imported""",mens
3652,,None,None,,"""Web exclusive! Lugz """"Prospect"""" moc toe boots are essential footwear for the outdoorsy man. This ruggedly designed lace-up boot features a thinsulate thermal lining for warmth, a flexastride memory foam insole for cushioned comfort and a thick rubber sole for excellent traction. Whether you're hiking through the mountains or working in the garage, these men's boots give the stylish support you need.    Featured in black/cream     1.5"""" heel     6"""" shaft height     Speed hooks with hex eyelets     Flexastride memory foam insole     Thinsulate Thermal lining     Blown rubber sole     Leather or nubuck upper     Imported""",unisex
3653,,None,None,,"""The Rallo from Betsey Johnson takes your favorite ankle strap heel up a notch with a delightful, floral print heel. Sultry lace detailing up the back gives these sleek sandals an edge.    Featured in fuchsia with floral print     Heel sandals     Buckle closure     Ankle strap     Lacing detail     Round open toe     Closed back     4"""" heel height     Two piece block heel     Suede upper     Imported""",unisex
3654,clothing,tops,None,Washed Button-Down,"Nothing against dress shirts or polosthey're great. But we all need that versatile, everyday shirt that we can wear anytime, with anything. Something comfy and broken-in that works year-round. When we designed our Washed Button-Downs, we kept that in mind, and with their soft 2-ply cotton and range of colors and patterns, we've found that you cannot have too many of them.",mens
3655,,None,None,,"""Web exclusive! Casual, feminine styling and an exceptionally comfortable design makes Flexus by Spring Step women's """"Ceri"""" sandals a fashion superstar. Accented throughout with pretty floral detailing for playful panache, these sandals feature a nearly 2"""" heel for a bit of flattering height. Completed with softly padded insoles, this women's footwear is perfect for all-day wear.    Nubuck leather upper    Textile lining    Slip-proof, anti-shock polyurethane outsole     Leather padded anatomic insole    Metal studs    1.75"""" heel    Adjustable heel strap with buckle closure     Hook and loop adjustable straps    Imported""",None
3656,accessories,luggage & bags,backpacks,Deuter Pico Backpack,Perfect for kids 2+,unisex
3657,,None,None,,Your mini Star Wars fan will love everything about this Disney boys' 4-7 long sleeve BB8 Astro tee. It features sporty stripes on the sleeves and a screenprint of his favorite character on the front.     Featured in red /black     Crewneck     Long sleeves     BB8 screenprint     Polyester     Imported,None
3658,sports & outdoors,team shop,team clothing,Pro Line by Fanatics Branded New England Patriots Heather Gray 2016 AFC Conference Champions Trophy Collection Locker Room Long Sleeve T-Shirt,"You have to have the latest Pro Line by Fanatics Branded gear and this 2016 AFC Conference Champions Trophy Collection Locker Room Long Sleeve T-Shirt more than fits that bill. Celebrating the top team in the conference, this shirt has plenty of awesome graphics to mirror those worn by New England Patriots players after the big win. Go ahead, grab this New England Patriots tee and set yourself apart from the rest!",unisex
3659,shoes,boots,None,"Eastland Sherman 1955 Moc-Toe Boot, Natural","""Eastland 1955 Edition handcrafted boot in leather. Approx. 6""""H shaft; 1.2""""H heel. Moc toe construction. Lace-up front with rawhide laces. Looped pull at back collar. Cushioned leather-lined insole. Vibram rubber outsole provides slip-resistance, durability, and shock-absorption. """"Sherman 1955"""" is imported.""",mens
3660,sports & outdoors,team shop,team accessories,Arkansas Razorbacks New Era Women's Spirited Trucker Adjustable Hat - Cardinal,"Are you such a committed Arkansas Razorbacks supporter that you never miss a game? Tell the world about your unrelenting dedication when you brandish this unique Spirited Trucker 9TWENTY adjustable hat from New Era. It features vivid raised Arkansas Razorbacks embroidery, so that everyone will know about your steadfast loyalty. No one will look like a bigger Arkansas Razorbacks fan than you when you've got this bold hat on your head!",unisex
3661,,None,None,,Keep (comfortably) stylish in these sporty elasticized instep mules from Anne Klein.    Featured in black    Fabric lining    Fabric lightly cushioned footbed    Fabric upper    Imported,None
3663,sports & outdoors,team shop,team clothing,,Help your little fan celebrate his Montreal Canadiens fandom when you give him this Clean Cut tee from Reebok! This Montreal Canadiens T-shirt features printed graphics and a lightweight cotton construction. Your little fan's Montreal Canadiens pride will stand out in style when he wears this spirited tee! Shop for your favorite NHL gear at Fanatics.com,unisex
3664,,None,None,Lee Men's Modern Series Straight Leg Jeans,"Get a bold, unique look with Lee's Modern Series of Straight Leg Jeans!    Featured Ramon     Light Wash     5 Pocket, Mid Rise     Fibers with four-way Flex     Extreme Range of Motion     Updated for Comfort and Durability     Cotton / spandex     Imported",unisex
3665,clothing,dresses,None,"A.L.C. Jardani Belted Floral Silk Mini Dress, Blue","""Exclusively ours. A.L.C. """"Jardani"""" silk mini dress in floral print. Crew neckline. Long sleeves; vented cuffs. Belted waist. A-line silhouette. Tiered hem. Hidden back zip. Lining: polyester. Imported.""",womens
3666,clothing,activewear,active tops,Men's UA Raid Short Sleeve T-Shirt,,mens
3667,,None,None,Fanatics Authentic Daytona International Speedway Yellow with Blue Writing Delpalma 1 12'' x 12'' Sign,"This Daytona International Speedway sign hung at this historic Speedway. Made of a composite plastic, this sign will show some wear and tear from years of usage directing race fans to their seats to witness some of the greatest racing in the world. This 12'' x 12'' grandstand sign comes with a Fanatics Hologram to certify the authenticity of this collectible.",unisex
3668,,None,None,ExOfficio Give-N-Go Sport Mesh V,"The new Sport Mesh shirt pairs classic Give-N-Go fabric with ultralight mesh for active performance. Whether you're cycling through Patagonia, trekking in Thailand, or trail running in your home range, the Sport Mesh will keep you cool, fresh, and comfortable.",unisex
