,category,sub_category,sub_sub_category,gender
4170,shoes,None,None,mens
4171,,None,None,unisex
4172,clothing,sweaters,None,plus size
4173,,None,None,None
4175,sports & outdoors,team shop,team clothing,None
4176,sports & outdoors,team shop,team clothing,unisex
4177,shoes,pumps,None,womens
4178,shoes,None,None,kids
4179,,None,None,unisex
4180,home & pet,school & office,supplies,None
4181,clothing,pants,leggings,None
4182,clothing,tops,None,womens
4184,kids & baby,boys clothing,boys pants & shorts,baby & toddler
4185,sports & outdoors,team shop,team accessories,unisex
4186,clothing,denim,None,mens
4188,sports & outdoors,team shop,team accessories,None
4189,sports & outdoors,team shop,team clothing,None
4190,sports & outdoors,team shop,team clothing,unisex
4191,sports & outdoors,team shop,team clothing,unisex
4192,sports & outdoors,team shop,None,unisex
4193,sports & outdoors,team shop,team clothing,unisex
4194,clothing,sweaters,None,womens
4195,clothing,sweaters,None,womens
4196,sports & outdoors,team shop,team clothing,None
4197,sports & outdoors,team shop,team clothing,unisex
4198,sports & outdoors,team shop,team clothing,unisex
4199,clothing,swimwear,None,womens
4200,sports & outdoors,team shop,team accessories,None
4201,sports & outdoors,team shop,team home & pet,None
4202,clothing,sweaters,None,womens
4203,electronics,computers,tablet & tablet accessories,None
4204,shoes,sandals,None,womens
4205,clothing,sweaters,None,womens
4207,kids & baby,girls clothing,"girls pants, skirts & shorts",girls
4208,sports & outdoors,team shop,team clothing,unisex
4209,clothing,activewear,active pants,mens
4210,sports & outdoors,team shop,team clothing,unisex
4211,sports & outdoors,team shop,team clothing,unisex
4213,sports & outdoors,team shop,team clothing,unisex
4214,sports & outdoors,team shop,team clothing,unisex
4215,clothing,shorts,None,womens
4216,accessories,hats,None,mens
4217,kids & baby,girls clothing,girls sleep & underwear,girls
4218,,None,None,None
4220,sports & outdoors,team shop,team clothing,unisex
4221,sports & outdoors,team shop,None,unisex
4222,sports & outdoors,team shop,team accessories,None
4223,sports & outdoors,team shop,team clothing,unisex
4224,,None,None,None
4225,shoes,platform & wedge shoes,None,womens
4226,sports & outdoors,team shop,team clothing,unisex
4227,clothing,sweaters,None,mens
4228,clothing,tops,dress shirts,mens
4229,sports & outdoors,team shop,team clothing,unisex
4230,health & beauty,beauty,makeup & fragrance,None
4231,clothing,tops,None,womens
4232,clothing,tops,polo shirts,mens
4233,sports & outdoors,team shop,team clothing,unisex
4234,clothing,underwear & intimates,underwear,womens
4235,sports & outdoors,team shop,team clothing,unisex
4236,,None,None,unisex
4237,clothing,tops,None,womens
4238,shoes,boots,ankle boots,womens
4239,sports & outdoors,team shop,team clothing,unisex
4240,kids & baby,girls clothing,None,girls
4242,sports & outdoors,team shop,team clothing,unisex
4244,clothing,suits,suit separates,mens
4246,,None,None,unisex
4247,clothing,tops,None,womens
4248,clothing,outerwear,None,mens
4249,clothing,sleepwear & loungewear,pajamas,womens
4250,,None,None,unisex
4251,sports & outdoors,team shop,None,unisex
4252,clothing,tops,None,mens
4253,,None,None,unisex
4254,sports & outdoors,team shop,team clothing,unisex
4255,clothing,sweaters,None,womens
4256,sports & outdoors,team shop,team clothing,unisex
4257,,None,None,None
4260,sports & outdoors,team shop,team clothing,unisex
4261,,None,None,unisex
4262,shoes,sneakers & athletic shoes,None,baby & toddler
4263,sports & outdoors,team shop,team clothing,unisex
4264,,None,None,None
4265,sports & outdoors,team shop,team clothing,unisex
4266,sports & outdoors,team shop,team clothing,unisex
4268,clothing,tops,dress shirts,mens
4269,,None,None,None
4270,sports & outdoors,team shop,team clothing,None
4272,sports & outdoors,team shop,team clothing,unisex
4273,sports & outdoors,team shop,team clothing,unisex
4274,clothing,denim,None,mens
4275,clothing,sweaters,None,womens
4276,sports & outdoors,team shop,team clothing,unisex
4277,,None,None,None
4278,sports & outdoors,team shop,team accessories,unisex
4279,clothing,underwear & intimates,bras,womens
4280,shoes,sneakers & athletic shoes,None,womens
4281,sports & outdoors,team shop,team clothing,unisex
4282,,None,None,None
4283,,None,None,None
4285,sports & outdoors,team shop,team clothing,unisex
4286,sports & outdoors,team shop,team clothing,None
4287,sports & outdoors,team shop,team accessories,unisex
4288,home & pet,home decor,decorative accents,None
4289,,None,None,unisex
4290,clothing,tops,blouses,womens
4291,sports & outdoors,team shop,team clothing,unisex
4292,clothing,tops,None,womens
4293,clothing,activewear,active tops,womens
4294,sports & outdoors,team shop,team clothing,unisex
4295,kids & baby,girls clothing,girls dresses,girls
4296,shoes,sandals,None,womens
4297,clothing,denim,None,girls
4298,sports & outdoors,team shop,team clothing,unisex
4299,,None,None,unisex
4300,sports & outdoors,team shop,team clothing,None
4301,clothing,dresses,evening dresses,womens
4302,shoes,pumps,None,womens
4303,clothing,sweaters,None,womens
4305,clothing,dresses,wear-to-work dresses,womens
4306,sports & outdoors,team shop,team clothing,unisex
4307,sports & outdoors,team shop,team clothing,unisex
4308,,None,None,None
4309,clothing,sweaters,None,womens
4311,sports & outdoors,team shop,team clothing,unisex
4312,sports & outdoors,team shop,team clothing,unisex
4313,accessories,jewelry,earrings,unisex
4314,clothing,tops,None,mens
4315,sports & outdoors,team shop,team clothing,unisex
4316,sports & outdoors,team shop,team clothing,unisex
4317,sports & outdoors,team shop,team clothing,unisex
4318,sports & outdoors,team shop,team clothing,unisex
4319,kids & baby,girls clothing,None,baby & toddler
4320,sports & outdoors,team shop,team clothing,unisex
4321,,None,None,None
4322,shoes,sandals,None,womens
4323,sports & outdoors,team shop,team clothing,None
4324,accessories,jewelry,rings,unisex
4325,clothing,outerwear,None,womens
4326,,None,None,None
4328,,None,None,womens
4330,sports & outdoors,team shop,team clothing,unisex
4331,sports & outdoors,team shop,None,None
4332,,None,None,None
4333,,None,None,unisex
4334,sports & outdoors,adventure sports,bicycles & cycling gear,womens
4335,kids & baby,boys clothing,boys shirts & tops,baby & toddler
4336,sports & outdoors,team shop,team clothing,unisex
4337,,None,None,unisex
4338,,None,None,None
4339,,None,None,None
4340,,None,None,unisex
4341,clothing,dresses,None,womens
4342,sports & outdoors,team shop,team clothing,None
4343,sports & outdoors,team shop,team clothing,unisex
4344,kids & baby,girls clothing,girls shirts & tops,baby & toddler
4345,,None,None,unisex
4346,sports & outdoors,team shop,team clothing,unisex
4347,sports & outdoors,team shop,team clothing,unisex
4348,shoes,sneakers & athletic shoes,None,womens
4349,,None,None,None
4350,,None,None,unisex
4351,sports & outdoors,team shop,team clothing,None
4352,sports & outdoors,team shop,team clothing,unisex
4353,sports & outdoors,team shop,team clothing,unisex
4354,sports & outdoors,team shop,team clothing,unisex
4357,,None,None,womens
4358,sports & outdoors,team shop,team clothing,unisex
4359,,None,None,unisex
4360,clothing,underwear & intimates,lingerie,womens
4361,sports & outdoors,team shop,team clothing,unisex
4362,sports & outdoors,team shop,team clothing,None
4363,sports & outdoors,team shop,team clothing,unisex
4364,sports & outdoors,team shop,team clothing,unisex
4365,sports & outdoors,team shop,team clothing,unisex
4366,sports & outdoors,team shop,None,unisex
4367,clothing,outerwear,blazers,mens
4368,shoes,None,None,kids
4369,sports & outdoors,team shop,team clothing,unisex
4370,sports & outdoors,team shop,team clothing,None
4371,accessories,watches,None,womens
4373,sports & outdoors,team shop,team clothing,None
4375,accessories,jewelry,earrings,unisex
4376,sports & outdoors,team shop,team clothing,unisex
4377,sports & outdoors,team shop,team clothing,unisex
4378,,None,None,None
4379,sports & outdoors,team shop,team clothing,unisex
4380,sports & outdoors,team shop,team clothing,unisex
4381,shoes,pumps,None,womens
4382,sports & outdoors,team shop,team accessories,unisex
4383,accessories,jewelry,rings,unisex
4384,accessories,socks & hosiery,hosiery,womens
4385,sports & outdoors,team shop,team clothing,unisex
4387,sports & outdoors,team shop,team clothing,unisex
4389,,None,None,None
4390,,None,None,unisex
4391,sports & outdoors,team shop,team clothing,unisex
4392,clothing,pants,None,womens
4393,sports & outdoors,team shop,team clothing,unisex
4394,clothing,activewear,active tops,womens
4395,clothing,suits,suit separates,womens
4397,sports & outdoors,team shop,team clothing,unisex
4398,accessories,jewelry,earrings,unisex
4400,sports & outdoors,team shop,team clothing,None
4401,sports & outdoors,team shop,team clothing,unisex
4402,sports & outdoors,team shop,team clothing,unisex
4403,sports & outdoors,team shop,None,None
4404,sports & outdoors,team shop,team clothing,unisex
4405,sports & outdoors,team shop,team clothing,unisex
4406,,None,None,None
4407,,None,None,unisex
4408,sports & outdoors,team shop,team clothing,unisex
4409,clothing,dresses,None,womens
4410,,None,None,unisex
4411,clothing,shorts,None,womens
4412,clothing,denim,None,womens
4414,sports & outdoors,team shop,team clothing,unisex
4416,,None,None,unisex
4417,clothing,tops,None,womens
4418,sports & outdoors,team shop,team clothing,unisex
4419,sports & outdoors,team shop,team clothing,unisex
4420,shoes,sandals,None,womens
4421,clothing,tops,t-shirts,plus size
4422,sports & outdoors,team shop,team clothing,unisex
4423,,None,None,unisex
4424,clothing,underwear & intimates,underwear,mens
4425,sports & outdoors,team shop,team accessories,unisex
4426,clothing,tops,None,mens
4427,sports & outdoors,team shop,team clothing,unisex
4429,clothing,tops,camisoles & tank tops,womens
4431,sports & outdoors,team shop,team clothing,unisex
4433,sports & outdoors,team shop,team clothing,unisex
4434,,None,None,unisex
4436,clothing,sweaters,None,mens
4437,,None,None,unisex
4438,,None,None,womens
4439,clothing,pants,None,womens
4441,shoes,sneakers & athletic shoes,running shoes,mens
4442,clothing,outerwear,None,mens
4443,sports & outdoors,team shop,team clothing,unisex
4444,clothing,denim,None,womens
4445,sports & outdoors,team shop,team clothing,None
4446,kids & baby,boys clothing,boys shirts & tops,boys
4448,sports & outdoors,team shop,team clothing,unisex
4449,accessories,jewelry,rings,womens
4451,sports & outdoors,team shop,team clothing,unisex
4452,,None,None,None
4453,sports & outdoors,team shop,team clothing,None
4454,health & beauty,beauty,makeup & fragrance,None
4455,kids & baby,boys clothing,boys coats & jackets,boys
4456,sports & outdoors,team shop,None,unisex
4457,sports & outdoors,team shop,team clothing,unisex
4458,kids & baby,None,None,kids
4459,,None,None,None
4460,shoes,sneakers & athletic shoes,None,unisex
4461,accessories,hats,None,womens
4463,sports & outdoors,team shop,team clothing,None
4464,sports & outdoors,team shop,team clothing,unisex
4465,sports & outdoors,team shop,team clothing,None
4467,clothing,swimwear,two-piece swimsuits,womens
4468,sports & outdoors,team shop,team clothing,unisex
4469,clothing,activewear,None,womens
4470,sports & outdoors,team shop,team clothing,unisex
4471,clothing,dresses,None,kids
4472,kids & baby,boys clothing,boys suits & separates,baby & toddler
4473,sports & outdoors,team shop,team clothing,unisex
4474,sports & outdoors,team shop,team clothing,unisex
4475,sports & outdoors,team shop,team accessories,unisex
4478,accessories,jewelry,bracelets,unisex
4479,sports & outdoors,team shop,team accessories,None
4480,,None,None,unisex
4481,sports & outdoors,team shop,team clothing,unisex
4482,sports & outdoors,team shop,team clothing,None
4483,clothing,pants,None,mens
4484,shoes,pumps,None,womens
4486,clothing,tops,None,womens
4489,sports & outdoors,team shop,team clothing,unisex
4490,sports & outdoors,team shop,team clothing,unisex
4491,sports & outdoors,team shop,team clothing,unisex
4492,clothing,underwear & intimates,bras,womens
4493,sports & outdoors,team shop,team clothing,unisex
4494,clothing,tops,None,womens
4496,clothing,tops,None,womens
4497,sports & outdoors,team shop,team clothing,unisex
4500,sports & outdoors,team shop,team accessories,unisex
4501,clothing,None,None,womens
4502,shoes,None,None,mens
4503,accessories,jewelry,rings,unisex
4504,sports & outdoors,team shop,team clothing,unisex
4505,,None,None,unisex
4506,clothing,denim,None,mens
4507,,None,None,unisex
4508,sports & outdoors,team shop,team clothing,unisex
4509,sports & outdoors,team shop,team clothing,None
4510,sports & outdoors,team shop,team accessories,unisex
4512,sports & outdoors,team shop,team clothing,unisex
4513,,None,None,None
4514,sports & outdoors,team shop,team accessories,unisex
4515,clothing,denim,bootcut,womens
4516,sports & outdoors,team shop,team clothing,None
4517,clothing,sweaters,None,womens
4518,clothing,pants,dress pants,mens
4519,kids & baby,baby,baby clothes,baby boys
4520,,None,None,unisex
4521,clothing,suits,None,plus size
4522,,None,None,womens
4523,clothing,tops,t-shirts,mens
4524,sports & outdoors,team shop,team home & pet,None
4525,clothing,tops,None,womens
4526,,None,None,womens
4527,accessories,luggage & bags,business bags,unisex
4528,sports & outdoors,team shop,team clothing,unisex
4529,,None,None,unisex
4530,clothing,dresses,cocktail dresses,womens
4531,clothing,sweaters,None,plus size
4532,,None,None,unisex
4533,clothing,tops,None,womens
4534,,None,None,None
4535,sports & outdoors,team shop,team clothing,None
4536,sports & outdoors,team shop,team clothing,None
4537,,None,None,unisex
4538,clothing,pants,None,mens
4539,sports & outdoors,team shop,team clothing,unisex
4540,,None,None,unisex
4541,accessories,wallets & money clips,wallets,womens
4542,clothing,swimwear,swim bottoms,womens
4543,clothing,sleepwear & loungewear,pajamas,mens
4544,clothing,dresses,None,womens
4547,clothing,tops,None,womens
4551,clothing,sweaters,None,womens
4553,accessories,luggage & bags,backpacks,unisex
4554,accessories,luggage & bags,luggage,None
4555,,None,None,mens
4556,clothing,swimwear,cover-ups,womens
4557,sports & outdoors,team shop,team clothing,unisex
4558,sports & outdoors,team shop,team accessories,None
4559,sports & outdoors,team shop,team home & pet,None
4560,,None,None,unisex
4561,sports & outdoors,team shop,team clothing,unisex
4562,sports & outdoors,team shop,team clothing,unisex
4563,sports & outdoors,team shop,team shoes,unisex
4565,sports & outdoors,team shop,team accessories,unisex
4567,clothing,dresses,day dresses,womens
4569,sports & outdoors,team shop,team clothing,unisex
4570,clothing,tops,None,womens
4571,sports & outdoors,team shop,team clothing,unisex
4572,shoes,None,None,womens
4573,,None,None,unisex
4575,sports & outdoors,team shop,team kids & baby,kids
4576,shoes,boots,None,mens
4577,clothing,activewear,active tops,mens
4578,clothing,shorts,None,mens
4579,sports & outdoors,team shop,team clothing,unisex
4580,kids & baby,girls clothing,None,girls
4581,sports & outdoors,team shop,team clothing,None
4582,electronics,audio,speakers & amps,None
4583,kids & baby,baby,baby clothes,baby girls
4584,sports & outdoors,team shop,team clothing,None
4585,,None,None,mens
4586,,None,None,None
4587,accessories,handbags,crossbody bags,unisex
4588,shoes,None,None,womens
4589,sports & outdoors,team shop,None,None
4590,shoes,None,None,girls
4591,sports & outdoors,team shop,team accessories,unisex
4592,clothing,outerwear,None,womens
4594,clothing,tops,None,womens
4595,sports & outdoors,team shop,team clothing,unisex
4596,clothing,suits,suit separates,mens
4597,sports & outdoors,team shop,team shoes,unisex
4598,sports & outdoors,team shop,team clothing,None
4599,clothing,swimwear,swimsuit tops,womens
4600,shoes,boots,None,womens
4601,clothing,tops,blouses,womens
4602,,None,None,mens
4603,sports & outdoors,team shop,team clothing,unisex
4604,sports & outdoors,team shop,team clothing,unisex
4605,sports & outdoors,team shop,team clothing,None
4606,clothing,underwear & intimates,bras,womens
4607,shoes,sandals,None,womens
4608,sports & outdoors,team shop,team clothing,None
4609,sports & outdoors,team shop,team clothing,unisex
4610,clothing,dresses,cocktail dresses,womens
4612,sports & outdoors,team shop,team clothing,unisex
4613,sports & outdoors,team shop,team clothing,None
4616,clothing,pants,None,womens
4617,clothing,dresses,day dresses,plus size
4618,,None,None,unisex
4619,clothing,dresses,evening dresses,womens
4620,sports & outdoors,team shop,team clothing,unisex
4621,clothing,tops,camisoles & tank tops,womens
4622,sports & outdoors,team shop,team clothing,unisex
4623,,None,None,unisex
4624,sports & outdoors,team shop,team clothing,unisex
4625,sports & outdoors,team shop,team clothing,unisex
4626,clothing,outerwear,None,mens
4627,sports & outdoors,team shop,team clothing,unisex
4628,sports & outdoors,team shop,team clothing,None
4629,sports & outdoors,team shop,team clothing,unisex
4630,clothing,pants,None,womens
4631,sports & outdoors,team shop,team accessories,unisex
4632,accessories,luggage & bags,backpacks,None
4633,sports & outdoors,team shop,team clothing,unisex
4635,sports & outdoors,team shop,team accessories,unisex
4636,sports & outdoors,team shop,team accessories,unisex
4637,sports & outdoors,team shop,team clothing,unisex
4638,sports & outdoors,team shop,team clothing,None
4639,clothing,suits,None,mens
4640,sports & outdoors,team shop,team accessories,unisex
4641,sports & outdoors,team shop,team accessories,unisex
4642,clothing,tops,None,womens
4644,sports & outdoors,team shop,team clothing,unisex
4647,sports & outdoors,team shop,team clothing,unisex
4648,sports & outdoors,team shop,team clothing,unisex
4649,sports & outdoors,team shop,team clothing,unisex
4653,sports & outdoors,team shop,team clothing,None
4655,,None,None,None
4656,,None,None,unisex
4657,accessories,socks & hosiery,hosiery,unisex
4658,sports & outdoors,team shop,team clothing,unisex
4659,electronics,computers,software,None
4660,,None,None,None
4661,sports & outdoors,team shop,team clothing,unisex
4663,sports & outdoors,team shop,team clothing,unisex
4664,clothing,suits,None,mens
4666,sports & outdoors,team shop,team clothing,unisex
4667,,None,None,unisex
4668,clothing,tops,t-shirts,womens
4669,clothing,tops,None,mens
4670,sports & outdoors,team shop,team clothing,unisex
4671,sports & outdoors,team shop,team clothing,unisex
4672,kids & baby,girls clothing,"girls pants, skirts & shorts",girls
4673,clothing,underwear & intimates,underwear,womens
4674,clothing,sweaters,None,womens
4676,accessories,jewelry,rings,womens
4677,sports & outdoors,team shop,team accessories,unisex
4678,,None,None,womens
4680,sports & outdoors,team shop,team clothing,None
4681,sports & outdoors,team shop,team shoes,unisex
4682,sports & outdoors,team shop,team clothing,unisex
4683,,None,None,None
4684,clothing,denim,None,womens
4685,sports & outdoors,team shop,team clothing,unisex
4686,clothing,underwear & intimates,lingerie,womens
4687,,None,None,womens
4688,,None,None,None
4689,sports & outdoors,team shop,team clothing,unisex
4690,sports & outdoors,team shop,team clothing,unisex
4692,clothing,dresses,wear-to-work dresses,womens
4693,,None,None,None
4694,sports & outdoors,team shop,team clothing,unisex
4695,clothing,denim,straight leg,mens
4696,,None,None,None
4697,sports & outdoors,team shop,team accessories,unisex
4698,sports & outdoors,team shop,team clothing,unisex
4699,clothing,sweaters,turtlenecks,womens
4700,,None,None,None
4701,,None,None,unisex
4702,accessories,luggage & bags,luggage,None
4703,sports & outdoors,team shop,team clothing,unisex
4704,clothing,underwear & intimates,bras,womens
4706,clothing,underwear & intimates,bras,womens
4707,,None,None,None
4708,sports & outdoors,team shop,team clothing,unisex
4709,sports & outdoors,team shop,team clothing,unisex
4710,,None,None,None
4711,sports & outdoors,team shop,team clothing,unisex
4713,clothing,pants,dress pants,mens
4715,kids & baby,baby,None,baby & toddler
4716,accessories,luggage & bags,luggage,unisex
4717,,None,None,None
4718,accessories,jewelry,necklaces,unisex
4719,,None,None,None
4720,sports & outdoors,exercise & fitness,None,None
4721,sports & outdoors,team shop,team clothing,unisex
4722,clothing,pants,None,mens
4724,sports & outdoors,team shop,team clothing,unisex
4725,,None,None,None
4726,sports & outdoors,team shop,team clothing,unisex
4727,shoes,None,None,mens
4728,accessories,neckties,None,mens
4729,clothing,dresses,day dresses,womens
4730,clothing,dresses,None,womens
4731,clothing,outerwear,None,mens
4732,sports & outdoors,team shop,team accessories,None
4733,sports & outdoors,team shop,team clothing,unisex
4735,clothing,tops,sweatshirts,mens
4736,clothing,dresses,wear-to-work dresses,womens
4738,home & pet,patio & garden,None,None
4739,clothing,outerwear,None,womens
4741,,None,None,None
4742,clothing,tops,None,womens
4744,sports & outdoors,team shop,team clothing,unisex
4745,sports & outdoors,team shop,team clothing,unisex
4746,sports & outdoors,team shop,team clothing,unisex
4747,clothing,activewear,None,mens
4748,sports & outdoors,team shop,team clothing,unisex
4750,,None,None,unisex
4751,sports & outdoors,team shop,team clothing,unisex
4752,sports & outdoors,team shop,team clothing,unisex
4753,clothing,tops,t-shirts,mens
4755,,None,None,None
4756,,None,None,None
4758,sports & outdoors,team shop,team clothing,None
4759,sports & outdoors,team shop,team clothing,None
4760,clothing,swimwear,two-piece swimsuits,womens
4761,,None,None,unisex
4762,,None,None,unisex
4764,sports & outdoors,team shop,team clothing,unisex
4765,sports & outdoors,team shop,team clothing,None
4766,clothing,sweaters,None,womens
4767,,None,None,unisex
4768,clothing,outerwear,raincoats,mens
4769,sports & outdoors,team shop,team clothing,None
4770,sports & outdoors,team shop,team clothing,unisex
4771,shoes,boots,None,mens
4772,sports & outdoors,team shop,None,unisex
4773,shoes,boots,None,womens
4774,,None,None,unisex
4775,sports & outdoors,team shop,team clothing,None
4776,,None,None,None
4778,clothing,swimwear,two-piece swimsuits,womens
4779,,None,None,unisex
4780,clothing,dresses,evening dresses,womens
4781,clothing,tops,None,womens
4782,sports & outdoors,team shop,team clothing,None
4783,clothing,denim,None,womens
4784,sports & outdoors,team shop,team clothing,unisex
4785,clothing,swimwear,swim bottoms,womens
4786,sports & outdoors,team shop,team clothing,None
4787,sports & outdoors,team shop,team clothing,unisex
4788,kids & baby,girls clothing,None,baby & toddler
4789,clothing,dresses,None,womens
4790,sports & outdoors,team shop,team clothing,unisex
4791,,None,None,None
4792,sports & outdoors,team shop,team clothing,unisex
4793,shoes,slippers,None,womens
4794,sports & outdoors,team shop,team clothing,None
4795,kids & baby,girls clothing,None,baby & toddler
4796,sports & outdoors,team shop,team clothing,None
4797,sports & outdoors,team shop,team clothing,unisex
4798,clothing,uniforms,professional uniforms,unisex
4799,kids & baby,girls clothing,girls sleep & underwear,girls
4800,sports & outdoors,team shop,team clothing,unisex
4801,sports & outdoors,team shop,team clothing,unisex
4802,,None,None,None
4803,sports & outdoors,team shop,team clothing,unisex
4804,,None,None,unisex
4805,sports & outdoors,team shop,team clothing,unisex
4806,sports & outdoors,team shop,team clothing,unisex
4807,sports & outdoors,team shop,team clothing,None
4808,sports & outdoors,team shop,team clothing,unisex
4809,accessories,handbags,tote handbags,None
4810,,None,None,unisex
4811,sports & outdoors,team shop,team clothing,unisex
4812,shoes,None,None,womens
4813,accessories,handbags,hobo handbags,unisex
4814,,None,None,unisex
4815,sports & outdoors,team shop,team clothing,unisex
4816,kids & baby,girls clothing,girls coats & jackets,girls
4817,sports & outdoors,team shop,team clothing,unisex
4818,sports & outdoors,team shop,team clothing,unisex
4819,sports & outdoors,team shop,team accessories,unisex
4820,sports & outdoors,team shop,team clothing,unisex
4821,clothing,tops,dress shirts,mens
4822,sports & outdoors,team shop,team clothing,unisex
4823,,None,None,None
4824,clothing,dresses,cocktail dresses,womens
4825,sports & outdoors,team shop,team clothing,mens
4826,sports & outdoors,team shop,team clothing,unisex
4827,,None,None,unisex
4828,sports & outdoors,team shop,team clothing,unisex
4830,,None,None,None
4831,clothing,denim,None,womens
4832,accessories,umbrellas,None,unisex
4833,clothing,suits,suit separates,mens
4834,clothing,tops,None,womens
4835,shoes,boots,ankle boots,womens
4836,clothing,tops,blouses,womens
4837,shoes,None,None,womens
4838,sports & outdoors,team shop,team clothing,None
4840,kids & baby,boys clothing,boys pants & shorts,baby & toddler
4841,sports & outdoors,team shop,team clothing,None
4842,,None,None,unisex
4843,kids & baby,None,None,kids
4844,sports & outdoors,team shop,team clothing,None
4845,sports & outdoors,team shop,team clothing,unisex
4847,clothing,tops,None,womens
4848,,None,None,None
4849,clothing,pants,None,womens
4850,,None,None,None
4851,clothing,pants,None,mens
4852,sports & outdoors,team shop,team shoes,unisex
4853,clothing,denim,None,womens
4854,kids & baby,girls clothing,None,girls
4855,electronics,computers,"printers, scan & fax",None
4856,kids & baby,girls clothing,girls shirts & tops,girls
4857,,None,None,None
4858,clothing,tops,dress shirts,mens
4860,clothing,skirts,None,womens
4861,,None,None,womens
4863,clothing,tops,None,womens
4864,sports & outdoors,team shop,team clothing,unisex
4867,,None,None,None
4868,sports & outdoors,team shop,team clothing,unisex
4869,sports & outdoors,team shop,team accessories,None
4870,sports & outdoors,team shop,team clothing,None
4871,sports & outdoors,team shop,team clothing,None
4872,accessories,wallets & money clips,None,mens
4873,accessories,jewelry,earrings,unisex
4874,accessories,jewelry,necklaces,None
4875,sports & outdoors,team shop,team clothing,unisex
4876,clothing,tops,None,womens
4877,sports & outdoors,team shop,team clothing,unisex
4878,,None,None,None
4879,electronics,computer parts & hardware,memory,None
4880,sports & outdoors,team shop,team clothing,None
4881,sports & outdoors,team shop,team clothing,unisex
4882,,None,None,unisex
4883,sports & outdoors,team shop,team clothing,unisex
4884,sports & outdoors,team shop,team clothing,unisex
4885,shoes,sneakers & athletic shoes,None,womens
4886,,None,None,unisex
4887,shoes,None,None,mens
4888,home & pet,pet,None,None
4889,clothing,dresses,wear-to-work dresses,womens
4890,sports & outdoors,team shop,team clothing,unisex
4891,,None,None,womens
4892,sports & outdoors,team shop,team kids & baby,unisex
4893,shoes,pumps,None,womens
4895,sports & outdoors,team shop,team clothing,None
4896,sports & outdoors,team shop,team accessories,unisex
4897,sports & outdoors,team shop,team clothing,unisex
4898,sports & outdoors,team shop,team clothing,None
4899,clothing,sleepwear & loungewear,loungewear,womens
4900,sports & outdoors,team shop,None,unisex
4901,clothing,tops,None,womens
4902,shoes,sandals,None,womens
4904,sports & outdoors,team shop,team clothing,None
4905,sports & outdoors,team shop,team home & pet,None
4907,clothing,outerwear,quilted & puffers,mens
4908,sports & outdoors,team shop,team accessories,unisex
4909,sports & outdoors,team shop,team clothing,unisex
4910,,None,None,girls
4911,sports & outdoors,team shop,team clothing,unisex
4912,sports & outdoors,team shop,team clothing,None
4913,clothing,shorts,None,womens
4915,sports & outdoors,team shop,team clothing,unisex
4916,sports & outdoors,team shop,team clothing,unisex
4917,clothing,tops,None,mens
4918,,None,None,None
4919,clothing,pants,None,mens
4920,sports & outdoors,team shop,team clothing,unisex
4921,,None,None,unisex
4922,sports & outdoors,team shop,team clothing,unisex
4923,,None,None,None
4924,,None,None,None
4925,sports & outdoors,team shop,team clothing,unisex
4926,,None,None,None
4927,,None,None,unisex
4928,clothing,tops,dress shirts,mens
4929,sports & outdoors,team shop,team clothing,unisex
4930,clothing,outerwear,vests,womens
4931,accessories,jewelry,necklaces,womens
4932,accessories,sunglasses,None,womens
4933,,None,None,None
4934,sports & outdoors,team shop,team clothing,unisex
4935,clothing,tops,dress shirts,mens
4937,,None,None,None
4938,sports & outdoors,team shop,team clothing,unisex
4939,sports & outdoors,team shop,team clothing,None
4940,clothing,suits,suit separates,mens
4941,sports & outdoors,team shop,team clothing,unisex
4942,sports & outdoors,team shop,team clothing,unisex
4943,sports & outdoors,team shop,team clothing,None
4944,sports & outdoors,team shop,team shoes,unisex
4945,accessories,jewelry,rings,unisex
4946,clothing,tops,None,womens
4947,shoes,pumps,None,womens
4948,sports & outdoors,team shop,team clothing,unisex
4950,sports & outdoors,team shop,team clothing,None
4951,clothing,tops,dress shirts,mens
4952,,None,None,unisex
4953,sports & outdoors,team shop,team clothing,unisex
4954,clothing,tops,None,womens
4955,sports & outdoors,team shop,team clothing,unisex
4956,clothing,tops,dress shirts,mens
4957,sports & outdoors,team shop,team accessories,unisex
4958,clothing,pants,dress pants,mens
4959,sports & outdoors,team shop,team clothing,None
4960,sports & outdoors,team shop,team accessories,unisex
4961,,None,None,None
4962,sports & outdoors,team shop,team shoes,None
4963,sports & outdoors,team shop,team home & pet,None
4964,,None,None,unisex
4966,sports & outdoors,team shop,team clothing,unisex
4967,clothing,tops,None,mens
4968,,None,None,unisex
4969,sports & outdoors,team shop,team clothing,unisex
4970,accessories,jewelry,necklaces,womens
4971,clothing,tops,None,womens
4972,sports & outdoors,team shop,team clothing,unisex
4973,,None,None,unisex
4974,sports & outdoors,team shop,team clothing,unisex
4975,sports & outdoors,team shop,team clothing,unisex
4976,,None,None,unisex
4977,kids & baby,girls clothing,girls shirts & tops,baby & toddler
4979,shoes,sneakers & athletic shoes,None,unisex
4980,shoes,pumps,None,womens
4981,sports & outdoors,team shop,team clothing,unisex
4982,clothing,activewear,active pants,boys
4983,sports & outdoors,team shop,team accessories,unisex
4984,sports & outdoors,team shop,team clothing,unisex
4986,sports & outdoors,team shop,team accessories,None
4987,accessories,neckties,None,mens
4988,,None,None,unisex
4989,,None,None,unisex
